genus,species,order,activity_code,sample_size,head_body_length,axial_eye_diameter,cornea_eye_diameter
Alouatta,sp.,Primates,d,3,737,16.2,9.7
Alouatta,seniculus,Primates,d,1,560,17.1,9
Aotus,trivirgatus,Primates,n,3,280,19.2,13
Aotus,sp.,Primates,n,2,305,20,13.4
Ateles,paniscus,Primates,d,4,503,18.7,9.7
Ateles,belzebuth,Primates,d,1,410,19.7,9.8
Ateles,sp.,Primates,d,2,509,20.2,10.9
Cacajao,rubicundus,Primates,d,1,553,19.2,9.3
Callicebus,sp.,Primates,d,1,356,13,7
Callicebus,moloch,Primates,d,1,290,13.1,7
Callimico,goeldii,Primates,d,1,270,12.5,7.1
Callithrix,argentata,Primates,d,1,210,11,6
Callithrix,jacchus,Primates,d,6,193,11.3,5.9
Callithrix,aurita,Primates,d,1,180,11.5,6.4
Callithrix,sp.,Primates,d,2,183,11.5,5.6
Cebus,sp.,Primates,d,1,435,14.1,7.3
Cebus,capucinus,Primates,d,1,385,16,9.9
Cercocebus,torquatus,Primates,d,1,602,19.4,11.3
Cercopithecus,cephus,Primates,d,1,521,17.2,10.6
Cercopithecus,nictitans,Primates,d,1,546,17.6,10.4
Cercopithecus,ascanius,Primates,d,2,460,18.5,9.8
Cercopithecus,albogularis,Primates,d,2,625,19.2,9.7
Cercopithecus,mitis,Primates,d,2,517,19.4,11
Cercopithecus,diana,Primates,d,1,508,19.5,10.7
Cercopithecus,neglectus,Primates,d,1,512,20.7,10.9
Cheirogaleus,medius,Primates,n,4,191,10.3,8.7
Cheirogaleus,major,Primates,n,4,238,12.6,10.7
Colobus,polykomos,Primates,d,3,617,18.2,10.1
Colobus,guereza,Primates,d,1,750,19.7,10.5
Daubentonia,madagascariensis,Primates,n,2,400,18.1,14.4
Erythrocebus,patas,Primates,d,6,711,22.5,11.1
Eulemur,macaco,Primates,c,4,450,15.3,12.1
Eulemur,mongoz,Primates,c,4,343,15.5,12.3
Eulemur,coronatus,Primates,c,2,340,16.1,12.3
Eulemur,fulvus,Primates,c,6,450,16.7,13.2
Eulemur,rubriventer,Primates,c,1,350,18.2,14.2
Galago,sengalensis,Primates,n,2,140,12.9,9.9
Galago,moholi,Primates,n,8,159,13.4,11.3
Galagoides,demidoff,Primates,n,6,126,11,9.4
Gorilla,gorilla,Primates,d,2,1600,23,12.3
Hapalemur,griseus,Primates,d,2,280,13.8,9.7
Hylobates,lar,Primates,d,1,530,17.7,10
Hylobates,leucogenys,Primates,d,1,546,18.9,11.2
Hylobates,sp.,Primates,d,3,500,19.9,10.7
Lagothrix,lagotricha,Primates,d,2,508,20,10
Lemur,catta,Primates,d,3,425,15.6,12
Leontopithecus,rosalia,Primates,d,1,261,11.2,6.6
Leontopithecus,sp.,Primates,d,1,268,12.2,6.5
Lophocebus,aterrimus,Primates,d,1,530,18.3,11.5
Lophocebus,albingena,Primates,d,1,600,20,10.8
Loris,tardigradus,Primates,n,5,212,14.9,12
Macaca,fuscata,Primates,d,1,540,17.4,9.9
Macaca,fascicularis,Primates,d,3,517,18.4,9.6
Macaca,radiata,Primates,d,3,483,18.6,9.3
Macaca,sp.,Primates,d,3,488,19.7,10.3
Macaca,mulatta,Primates,d,3,553,20,10.8
Macaca,nemestrina,Primates,d,3,516,20.4,11.4
Macaca,silenus,Primates,d,1,535,20.4,11.8
Mandrillus,leucophaeus,Primates,d,1,680,21.6,11.5
Mandrillus,sphinx,Primates,d,1,800,23.1,12.9
Microcebus,murinus,Primates,n,10,121,9.2,8
Mirza,coquereli,Primates,n,6,200,13.1,11.5
Nycticebus,pygmaeus,Primates,n,1,250,15.5,12.3
Nycticebus,coucang,Primates,n,7,309,15.7,12.1
Otolemur,crassicaudatus,Primates,n,2,328,16.3,13.4
Pan,troglodytes,Primates,d,2,839,20.9,10.4
Papio,cynocephalus,Primates,d,1,660,17.6,8.7
Papio,sp.,Primates,d,3,696,21,11
Perodicticus,potto,Primates,n,3,325,12.4,10.4
Pithecia,monachus,Primates,d,1,330,14,7.8
Pongo,pygmaeus,Primates,d,2,875,21.5,11.2
Procolobus,badius,Primates,d,1,580,18.4,9.7
Propithecus,verreauxi,Primates,d,6,438,17.7,13.1
Propithecus,tattersalli,Primates,d,3,478,18.2,13.4
Propithecus,diadema,Primates,d,1,500,20.2,14.9
Saguinus,fuscicollis,Primates,d,3,237,10.3,5.9
Saguinus,sp.,Primates,d,1,254,11.6,6.5
Saguinus,oedipus,Primates,d,1,225,11.8,6.4
Saguinus,labiatus,Primates,d,1,240,12,6.2
Saguinus,midas,Primates,d,1,248,12.2,6.1
Saguinus,imperator,Primates,d,1,210,12.5,6.6
Saguinus,mystax,Primates,d,1,220,12.7,6.1
Saimiri,boliviensis,Primates,d,5,310,14.5,7.6
Saimiri,sp.,Primates,d,3,320,15.3,8.1
Saimiri,sciureus,Primates,d,4,306,15.5,7.8
Semnopithecus,entellus,Primates,d,1,750,22,12.3
Tarsius,sp.,Primates,n,3,111,16.1,13
Tarsius,syrichta,Primates,n,3,124,17,13.7
Theropithecus,gelada,Primates,d,1,620,19.6,8.6
Trachypithecus,cristatus,Primates,d,1,487,18.6,11
Varecia,variegata,Primates,d,5,500,18.5,14.2
Ptilocercus,lowii,Scandentia,n,1,130,6.5,6.2
Tupaia,minor,Scandentia,d,1,130,7.5,6.6
Tupaia,belangeri,Scandentia,d,1,170,7.6,6.6
Tupaia,glis,Scandentia,d,2,158,8.7,7.8
Urogale,everetti,Scandentia,d,1,200,8,6.9