Taxon,AP,N,TD,SD,CD,SD,CD:TD
Alouatta sp.,D,3,18.6,0.7,9.3,0.4,0.50
Aotus sp.,N,2,19.2,1.1,13.4,1.3,0.70
Ateles sp.,D,6,20.1,2.0,10.1,1.0,0.50
Cacajao rubicundus,D,1,19.9,,9.3,,0.47
Callithrix jacchus,D,5,11.6,0.3,6.0,0.3,0.52
Cebus sp.,D,1,15.1,,7.3,,0.48
Cercopithecus albogularis,D,1,18.9,,9.7,,0.51
Cercopithecus ascanius,D,2,18.8,1.0,9.8,0.9,0.52
Cercopithecus diana,D,1,20.2,,10.7,,0.53
Cercopithecus neglectus,D,1,20.6,,10.9,,0.53
Cheirogaleus major,N,1,12.9,,10.6,,0.83
Cheirogaleus medius,N,3,10.5,0.2,8.8,0.1,0.84
Colobus polykomos,D,3,19.1,0.3,10.1,0.5,0.53
Daubentonia madagascariensis,N,1,17.6,,14.1,,0.80
Erythrocebus patas,D,2,24.3,0.7,11.1,0.3,0.45
Eulemur coronatus,C,2,16.1,1.1,12.3,1.7,0.77
Eulemur fulvus,C,6,17.6,0.6,13.2,0.6,0.75
Eulemur macaco,C,4,17.4,0.8,12.1,1.0,0.70
Eulemur mongoz,C,3,16.4,0.5,12.6,0.7,0.77
Eulemur rubriventer,C,1,18.1,,14.2,,0.78
Galago moholi,N,8,13.8,0.6,11.3,0.5,0.82
Galagoides demidoff,N,1,9.6,,8.8,,0.92
Hapalemur griseus,D,2,14.1,0.3,9.7,0.2,0.69
Hylobates sp.,D,4,19.9,1.2,10.5,0.5,0.53
Lagothrix lagotricha,D,2,20.5,0.3,10.0,0.2,0.49
Lemur catta,D,3,16.2,0.4,12.0,0.5,0.74
Leontopithecus rosalia,D,1,12.0,,6.6,,0.55
Loris tardigradus,N,2,15.1,0.1,12.8,0.3,0.85
Macaca fascicularis,D,3,18.5,0.3,9.6,0.0,0.52
Macaca mulatta,D,3,20.5,0.4,10.8,0.6,0.53
Macaca nemestrina,D,2,20.5,0.2,11.4,0.7,0.56
Macaca radiata,D,3,18.6,0.1,9.3,0.2,0.50
Macaca sp.,D,1,17.9,,9.7,,0.54
Mandrillus leucophaeus,D,1,21.6,,11.4,,0.53
Microcebus murinus,N,7,9.4,0.5,8.0,0.3,0.85
Mirza coquereli,N,6,13.0,0.3,11.5,0.3,0.88
Nycticebus coucang,N,4,15.8,0.6,12.6,0.7,0.80
Nycticebus pygmaeus,N,1,14.9,,12.3,,0.83
Otolemur crassicaudatus,N,2,17.4,1.0,13.4,0.7,0.77
Pan troglodytes,D,1,23.0,,10.2,,0.44
Papio sp.,D,3,20.2,0.8,10.0,1.2,0.49
Perodicticus potto,N,2,12.2,0.3,10.2,0.5,0.84
Pongo pygmaeus,D,1,22.8,,11.6,,0.51
Procolobus badius,D,1,18.7,,9.7,,0.52
Propithecus diadema,D,1,20.3,,14.9,,0.73
Propithecus tattersalli,D,3,18.4,0.5,13.4,0.3,0.73
Propithecus verreauxi,D,6,17.8,0.7,13.1,0.8,0.74
Saguinus fuscicollis,D,3,10.5,0.4,5.9,0.4,0.56
Saguinus midas,D,1,12.7,,6.1,,0.48
Saguinus sp.,D,1,12.1,,6.5,,0.54
Saimiri sp.,D,10,15.1,0.4,7.8,0.3,0.51
Tarsius syrichta,N,2,17.9,0.4,14.1,0.1,0.79
Theropithecus gelada,D,1,18.4,,8.6,,0.47
Trachypithecus cristatus,D,1,19.4,,11.0,,0.57
Varecia variegata,D,5,19.4,0.3,14.2,0.3,0.73
Carnivorans,,,,,,,
Acinonyx jubatus,D,2,35.9,0.0,22.4,1.2,0.62
Ailurus fulgens,N,1,13.0,,10.0,,0.77
Alopex lagopus,C,2,18.8,0.1,13.3,0.3,0.71
Bassariscus astutus,N,1,13.2,,11.8,,0.89
Canis lupus,C,1,22.9,,16.6,,0.72
Cerdocyon thous,N,1,17.8,,14.4,,0.81
Galidia elegans,D,1,9.2,,7.0,,0.76
Genetta genetta,N,2,14.8,0.4,13.0,0.0,0.88
Hemigalus derbyanus,N,1,13.1,,12.3,,0.94
Ichneumia albicauda,N,1,14.0,,12.0,,0.86
Ictailurus planiceps,N,1,19.2,,17.1,,0.89
Leopardus tigrinus,C,1,20.1,,17.9,,0.89
Leopardus wiedii,C,2,22.0,0.3,19.8,0.1,0.90
Lutra annectens,C,1,10.6,,7.3,,0.68
Lutra marculicollis,C,1,10.7,,8.6,,0.80
Lynx canadensis,C,2,26.7,0.0,19.1,0.0,0.71
Martes flavigula,D,1,12.2,,8.4,,0.69
Meles meles,N,1,10.6,,8.5,,0.80
Melursus ursinus,N,1,17.0,,11.2,,0.66
Mustela nivalis,C,1,6.0,,4.9,,0.82
Mydaus sp.,C,1,7.4,,6.1,,0.82
Otocolobus manul,C,1,19.2,,12.8,,0.67
Panthera leo,C,3,36.1,2.3,25.3,0.8,0.70
Panthera onca,N,1,28.2,,20.5,,0.73
Panthera tigris,C,2,34.8,3.2,24.2,1.2,0.70
Panthera uncia,C,2,31.1,0.8,22.1,0.5,0.71
Paracynictis selousi,C,1,10.5,,6.3,,0.60
Pardofelis marmorata,N,1,21.6,,17.0,,0.79
Prionailurus bengalensis,C,2,20.4,0.3,16.3,1.0,0.80
Prionailurus viverrinus,C,1,23.6,,19.6,,0.83
Procyon lotor,N,3,14.0,1.0,11.6,0.9,0.83
Salanoia concolor,D,1,14.3,,12.7,,0.89
Selenarctos thibetanus,C,1,17.0,,11.5,,0.68
Speothos venaticus,D,1,17.7,,10.0,,0.56
Suricata suricatta,D,1,12.7,,6.0,,0.47
Urocyon cinereoargenteus,C,3,17.4,2.7,13.8,2.2,0.79
Ursus americanus,C,1,18.5,,13.8,,0.74
Ursus arctos,C,1,20.0,,13.0,,0.65
Vormela peregusna,C,1,7.6,,6.6,,0.87
Vulpes vulpes,N,3,19.8,0.5,15.9,0.5,0.80
Scandentians,,,,,,,
Ptilocercus lowii,N,1,6.7,,6.2,,0.93
Tupaia belangeri,D,1,8.8,,6.6,,0.74
Tupaia glis,D,2,9.6,0.1,7.8,0.3,0.82
Tupaia minor,D,1,8.0,,6.6,,0.82
Urogale everetti,D,1,9.0,,6.9,,0.77
Sciurids,,,,,,,
Callosciurus notatus,D,1,9.9,,7.5,,0.75
Glaucomys volans,N,1,8.6,,7.8,,0.91
Marmota monax,D,1,12.3,,7.5,,0.61
Myosciurus pumilio,D,1,5.2,,4.2,,0.81
Sciurus carolinensis,D,1,12.6,,9.1,,0.73
Sciurus niger,D,1,13.3,,9.7,,0.73
Tamias striatus,D,6,8.0,0.3,5.9,0.4,0.73
Tamiasciurus sp.,D,3,9.7,0.5,7.1,0.4,0.73